TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,30.9,27,85,30.35,10,Calm,Calm,-,N/A,,Partly Cloudy,0,21-02-2012 05:51
1:51 AM,30,26.1,85,30.35,10,Calm,Calm,-,N/A,,Partly Cloudy,0,21-02-2012 06:51
2:51 AM,28.9,25,85,30.33,10,Calm,Calm,-,N/A,,Scattered Clouds,0,21-02-2012 07:51
3:51 AM,33.1,26.1,75,30.31,10,ESE,5.8,-,N/A,,Scattered Clouds,120,21-02-2012 08:51
4:51 AM,30.9,26.1,82,30.32,10,Calm,Calm,-,N/A,,Scattered Clouds,0,21-02-2012 09:51
5:51 AM,32,26.1,79,30.3,10,SE,4.6,-,N/A,,Scattered Clouds,130,21-02-2012 10:51
6:51 AM,28.9,26.1,89,30.31,10,Calm,Calm,-,N/A,,Mostly Cloudy,0,21-02-2012 11:51
7:51 AM,33.1,28,82,30.34,10,SSW,4.6,-,N/A,,Mostly Cloudy,200,21-02-2012 12:51
8:51 AM,37.9,30,73,30.34,10,SSW,4.6,-,N/A,,Mostly Cloudy,200,21-02-2012 13:51
9:51 AM,41,32,70,30.33,10,SE,5.8,-,N/A,,Mostly Cloudy,140,21-02-2012 14:51
10:51 AM,46,30.9,56,30.3,10,SSW,5.8,-,N/A,,Mostly Cloudy,200,21-02-2012 15:51
11:51 AM,46.9,30,52,30.27,10,SSW,10.4,-,N/A,,Mostly Cloudy,210,21-02-2012 16:51
12:51 PM,53.1,35.1,50,30.19,10,South,9.2,-,N/A,,Mostly Cloudy,190,21-02-2012 17:51
1:51 PM,55,39,55,30.15,10,SW,15,-,N/A,,Mostly Cloudy,220,21-02-2012 18:51
2:51 PM,57,41,55,30.11,10,SSW,12.7,18.4,N/A,,Mostly Cloudy,200,21-02-2012 19:51
3:51 PM,55.9,41,57,30.08,10,SSW,11.5,-,N/A,,Mostly Cloudy,210,21-02-2012 20:51
4:51 PM,57,43,59,30.04,10,SSW,13.8,-,N/A,,Mostly Cloudy,210,21-02-2012 21:51
5:51 PM,55.9,44.1,64,30.02,10,SSW,16.1,-,N/A,,Mostly Cloudy,210,21-02-2012 22:51
6:51 PM,54,44.1,69,30.01,10,SSW,15,-,N/A,,Mostly Cloudy,210,21-02-2012 23:51
7:51 PM,52,44.1,74,30.03,10,SW,8.1,-,N/A,,Mostly Cloudy,230,22-02-2012 00:51
8:51 PM,51.1,44.1,77,30.02,10,SW,10.4,-,N/A,,Partly Cloudy,220,22-02-2012 01:51
9:51 PM,48,42.1,80,30.02,10,SW,5.8,-,N/A,,Partly Cloudy,230,22-02-2012 02:51
10:51 PM,46.9,42.1,83,30.01,10,SW,6.9,-,N/A,,Partly Cloudy,230,22-02-2012 03:51
11:51 PM,46,41,83,30,10,SW,5.8,-,N/A,,Clear,230,22-02-2012 04:51
